,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1805,0.10451316,0.28415149,0.45513937,0.34751549,-0.36715376,0.00375478,-0.24207179,0.07641979,-0.19321322,-0.54092282,0.11471143,0.31023967,0.34124196,-0.18383847,0.14380422,-0.01252955,0.0,0.01437898,0.10454991
1806,-0.04961905,0.38596812,0.21775462,0.06152346,0.51339048,0.33365098,0.22551829,-0.6698091,-0.58572716,-0.3571251,0.00916052,0.67381144,-0.19076574,0.45374689,0.14842819,-0.7189815,0.0,0.01386434,0.05467614
1807,-0.37762126,0.22768733,0.21549621,-0.17689554,-0.19662637,-0.24202082,-0.26749027,0.3563475,-0.0688918,-0.736408,-0.09951081,0.63657218,-0.11287126,0.27706602,-0.13330227,0.2476881,0.01055293,0.00637934,0.07593074
1808,-0.17056164,0.97072119,0.44885233,-0.28213149,-0.22920366,0.10559983,-1.04845715,-0.16931389,-0.23256214,-0.39255294,0.20384489,0.26067057,-0.1298945,-0.21169841,-0.12690723,-0.59640092,0.0,0.0,0.27591258
1809,-5.35325241,1.26785612,4.14705944,-0.39422429,6.32403755,1.76915669,-1.88631296,0.75282127,-1.1283263,-0.83793885,1.85870862,-1.45294809,3.59793878,0.74273372,-0.66190219,1.20153081,0.00530272,0.01884203,0.02231512
1810,0.49955299,0.9416104,0.56786793,0.28185135,0.05530404,0.69309264,-0.1977834,-0.93366301,0.09166655,-0.1878507,0.441508,0.20423229,0.01864112,0.47351739,0.36277997,0.12003896,0.0,0.00335185,0.01676251
1811,-0.47904536,0.30939007,0.0865441,-0.48508337,-0.11790244,-0.49959138,-0.68233109,-0.08668679,0.92508,-0.20014907,1.0141114,0.84238029,0.32354006,0.32181311,0.43534473,-0.26689535,0.01058804,0.00146675,0.0513448
1812,0.29285112,0.62304693,0.21543357,-0.23215923,-0.03281209,0.12513106,-0.57855475,0.20016137,-0.34428936,0.11391013,-0.04025707,0.57616079,0.53730541,0.23512295,-0.19067983,-0.33963507,0.03183644,0.03819596,0.0
1813,0.17800695,0.10479572,0.19352001,-0.12463897,-0.0096569,0.0594115,-0.41600353,0.14509569,-0.30724555,-0.19937862,-0.04928542,-0.12640198,0.18859024,-0.1399651,0.03849402,-0.42717215,0.01059963,0.23606141,0.12314476
1814,-0.48443133,0.38071552,0.16914172,-0.05509469,-0.7578643,0.66608155,0.21470776,0.53833485,-0.18062916,0.98578346,0.06808767,-0.73248363,0.02047866,0.61768109,-0.25706258,-0.39816529,0.0,0.68516272,0.27628708
1815,0.59782195,1.31099808,0.04224535,-0.00233662,0.56237012,0.50283927,-0.67590755,-0.58616477,-0.13735272,-0.13901718,-0.1365072,0.55874187,0.26628596,0.98858702,0.14457025,-0.02795511,0.0158484,0.042475,0.02709274
1816,0.75110543,0.54143238,0.13562152,0.08855156,-0.03331195,-0.01495727,-0.90647924,-0.03006344,-0.66322708,0.22979145,-0.29133591,-0.03787796,0.69204819,0.06189043,-0.19119477,0.180399,0.01046309,0.16702513,0.17749196
1817,1.03951478,1.18683493,0.07592525,-0.34760281,-0.02691202,-0.09130372,-1.31290781,-0.26363882,-1.30337679,0.04406055,-0.14228734,-0.23562999,0.80526203,0.22440661,-0.00185301,0.33101633,0.0,0.00746076,0.02289145
1818,0.64175445,0.12433836,0.01007021,0.15773787,0.12369371,0.0820766,-1.02870834,0.42548734,0.45050454,-0.04054327,0.01771509,0.12306635,0.52913624,0.3948853,0.38957474,0.23226808,0.01060775,0.0325469,0.0
1819,-0.48779437,-0.02875794,0.18320471,0.0964954,-0.30557346,0.25244114,-0.19615205,0.06058033,0.73356569,0.11887555,0.2328915,0.39873457,0.20549449,-0.11566075,0.27686197,-0.34982729,0.00531183,0.0309123,0.1171885
